"","Council","Rating","1999/2000","2001/2002","2003/2004","2005/2006","2007/2008","2009/2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"192","Perth & Kinross","Base","730","680","600","630","520","670","*","240","270","250","240","220","240","220","200"
"193","Renfrewshire","Very/fairly good","90.9","90.5","88.8","89.3","93.2","90.4","*","93","93.9","93.6","92.3","93.5","94.1","93.9","94.3"
"194","Renfrewshire","Very good","48.2","47.4","48.2","46","52.3","46.5","*","54.8","60.7","58","50.1","57.3","57.8","64.1","52.8"
"195","Renfrewshire","Fairly good","42.7","43.2","40.6","43.3","40.9","43.9","*","38.2","33.2","35.6","42.2","36.3","36.3","29.9","41.5"
"196","Renfrewshire","Fairly poor","5.7","5","7.2","6.6","3.7","7.4","*","6","3.1","5.3","5.8","4.2","3.4","3.8","5"
"197","Renfrewshire","Very poor","2.8","4","3.4","3.8","2.5","2","*","0.8","2.9","1.1","1.9","1.8","2.1","1.3","0.7"
"198","Renfrewshire","No opinion","0.6","0.5","0.5","0.4","0.5","0.2","*","0.2","0.2","-","-","0.5","0.5","1","-"
"199","Renfrewshire","All","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"200","Renfrewshire","Base","910","900","940","870","580","800","*","310","270","250","290","270","220","240","250"
"201","Scotland","Very/fairly good","91.3","91.7","92","92.1","92.4","93.5","93.9","93.7","94.1","94.4","94.6","95","95","94.6","94.2"
"202","Scotland","Very good","50.5","49.8","51.5","50.9","52.3","55.2","55.9","55.2","55.2","55.8","56.3","56.7","57","57.4","57"
"203","Scotland","Fairly good","40.8","41.9","40.5","41.1","40.1","38.3","38","38.5","38.9","38.5","38.3","38.3","38","37.2","37.2"
"204","Scotland","Fairly poor","5.3","5","5","5.2","4.9","4.4","4.2","4.3","4.1","3.6","3.7","3.6","3.4","4","4.2"
"205","Scotland","Very poor","3.1","2.8","2.5","2.4","2.4","1.8","1.7","1.7","1.5","1.7","1.4","1.2","1.3","1.2","1.4"
"206","Scotland","No opinion","0.4","0.4","0.5","0.4","0.3","0.3","0.3","0.3","0.3","0.4","0.3","0.3","0.2","0.2","0.2"
"207","Scotland","All","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"208","Scotland","Base","28340","28690","28750","28260","19700","24980","12890","9890","9920","9800","9410","9640","9810","9700","9780"
