"","Year","Council","Rating","20% most deprived","2","3","4","20% least deprived","All"
"365","2013","Aberdeenshire","Fairly poor","*","*","2.8","3.6","0.9","2.9"
"366","2013","Angus","Fairly poor","*","*","3.4","2.3","*","2.7"
"367","2013","Argyll & Bute","Fairly poor","*","*","1","-","*","1.7"
"368","2013","Clackmannanshire","Fairly poor","4.3","6.3","7.2","*","*","4.9"
"369","2013","Dumfries & Galloway","Fairly poor","*","3.4","0.9","-","*","1.8"
"370","2013","Dundee City","Fairly poor","10.4","4.3","*","*","*","5.6"
"371","2013","East Ayrshire","Fairly poor","12.2","0.8","*","*","*","3.5"
"372","2013","East Dunbartonshire","Fairly poor","*","*","*","*","0.9","1.5"
"373","2013","East Lothian","Fairly poor","*","7.9","*","2.3","*","3.4"
"374","2013","East Renfrewshire","Fairly poor","*","*","*","*","0.3","0.4"
"375","2013","Edinburgh, City of","Fairly poor","15.5","4.9","8.1","4","0.7","4.7"
"376","2013","Falkirk","Fairly poor","*","1.7","*","*","*","5.2"
